s,x,y,kappa,n_l,n_r
18.5,-1.231,1.903,0.212,0.395,0.631
18.6,-1.214,1.804,0.199,0.395,0.622
18.7,-1.195,1.706,0.191,0.395,0.613
18.8,-1.174,1.608,0.189,0.395,0.605
18.9,-1.151,1.511,0.193,0.394,0.599
19.0,-1.127,1.414,0.206,0.394,0.593
19.1,-1.1,1.317,0.227,0.395,0.589
19.2,-1.072,1.221,0.26,0.395,0.586
19.3,-1.041,1.126,0.308,0.396,0.584
19.4,-1.007,1.032,0.372,0.397,0.583
19.5,-0.97,0.94,0.457,0.399,0.583
19.6,-0.928,0.849,0.56,0.401,0.584
19.7,-0.882,0.76,0.68,0.404,0.586
19.8,-0.829,0.675,0.805,0.408,0.589
19.9,-0.77,0.594,0.917,0.412,0.592
20.0,-0.704,0.519,0.993,0.417,0.596
20.1,-0.63,0.452,1.017,0.422,0.6
20.2,-0.55,0.392,0.986,0.428,0.604
20.3,-0.465,0.34,0.909,0.434,0.609
20.4,-0.375,0.296,0.808,0.441,0.613
20.5,-0.281,0.26,0.699,0.448,0.617
20.6,-0.186,0.231,0.596,0.455,0.621
20.7,-0.089,0.207,0.399,0.463,0.625
20.8,0.009,0.188,0.251,0.471,0.628
